episode_num,title,total_tokens,unique_types,TTR,Root_TTR,MTLD
1,"Love Island (2019–…): Season 4, Episode 1  - Episode #4.1 - full transcript",8650,1273,0.1472,13.687,59.21
2,"Love Island (2019–…): Season 4, Episode 2  - Episode #4.2 - full transcript",7062,1108,0.1569,13.185,43.24
3,"Love Island (2019–…): Season 4, Episode 3  - Episode #4.3 - full transcript",5930,995,0.1678,12.921,61.9
4,"Love Island (2019–…): Season 4, Episode 4  - Episode #4.4 - full transcript",5722,936,0.1636,12.374,53.98
5,"Love Island (2019–…): Season 4, Episode 5  - Episode #4.5 - full transcript",5415,1158,0.2139,15.737,81.93
6,"Love Island (2019–…): Season 4, Episode 6  - Episode #4.6 - full transcript",5317,920,0.173,12.617,62.15
7,"Love Island (2019–…): Season 4, Episode 7  - Episode #4.7 - full transcript",5447,953,0.175,12.913,59.85
8,"Love Island (2019–…): Season 4, Episode 8  - Episode #4.8 - full transcript",6468,950,0.1469,11.812,56.49
9,"Love Island (2019–…): Season 4, Episode 9  - Episode #4.9 - full transcript",5038,956,0.1898,13.469,67.12
10,"Love Island (2019–…): Season 4, Episode 10  - Episode #4.10 - full transcript",6087,1009,0.1658,12.933,55.08
11,"Love Island (2019–…): Season 4, Episode 11  - Episode #4.11 - full transcript",5961,1259,0.2112,16.307,62.39
12,"Love Island (2019–…): Season 4, Episode 12  - Episode #4.12 - full transcript",5009,998,0.1992,14.101,65.01
13,"Love Island (2019–…): Season 4, Episode 13  - Episode #4.13 - full transcript",5411,887,0.1639,12.058,54.69
14,"Love Island (2019–…): Season 4, Episode 14  - Episode #4.14 - full transcript",4750,918,0.1933,13.32,63.41
15,"Love Island (2019–…): Season 4, Episode 15  - Episode #4.15 - full transcript",5368,922,0.1718,12.584,51.89
16,"Love Island (2019–…): Season 4, Episode 16  - Episode #4.16 - full transcript",5275,997,0.189,13.727,54.35
17,"Love Island (2019–…): Season 4, Episode 17  - Episode #4.17 - full transcript",5407,1276,0.236,17.353,64.92
18,"Love Island (2019–…): Season 4, Episode 18  - Episode #4.18 - full transcript",5249,910,0.1734,12.56,76.77
19,"Love Island (2019–…): Season 4, Episode 19  - Episode #4.19 - full transcript",5176,996,0.1924,13.844,71.49
20,"Love Island (2019–…): Season 4, Episode 20  - Episode #4.20 - full transcript",5973,1076,0.1801,13.922,60.86
21,"Love Island (2019–…): Season 4, Episode 21  - Episode #4.21 - full transcript",6031,961,0.1593,12.375,59.93
22,"Love Island (2019–…): Season 4, Episode 22  - Episode #4.22 - full transcript",8294,1130,0.1362,12.408,55.45
23,"Love Island (2019–…): Season 4, Episode 23  - Episode #4.23 - full transcript",5656,910,0.1609,12.1,64.5
24,"Love Island (2019–…): Season 4, Episode 24  - Episode #4.24 - full transcript",6174,1227,0.1987,15.616,60.16
25,"Love Island (2019–…): Season 4, Episode 25  - Episode #4.25 - full transcript",5171,947,0.1831,13.169,58.74
26,"Love Island (2019–…): Season 4, Episode 26  - Episode #4.26 - full transcript",5617,979,0.1743,13.063,64.88
27,"Love Island (2019–…): Season 4, Episode 27  - Episode #4.27 - full transcript",6337,1032,0.1629,12.964,53.28
28,"Love Island (2019–…): Season 4, Episode 28  - Episode #4.28 - full transcript",4675,896,0.1917,13.104,67.98
29,"Love Island (2019–…): Season 4, Episode 29  - Episode #4.29 - full transcript",4883,909,0.1862,13.008,56.19
30,"Love Island (2019–…): Season 4, Episode 30  - Episode #4.30 - full transcript",5244,1286,0.2452,17.759,55.98
31,"Love Island (2019–…): Season 4, Episode 31  - Episode #4.31 - full transcript",5959,970,0.1628,12.566,55.62
32,"Love Island (2019–…): Season 4, Episode 32  - Episode #4.32 - full transcript",5167,983,0.1902,13.675,61.26
33,"Love Island (2019–…): Season 4, Episode 33  - Episode #4.33 - full transcript",4790,920,0.1921,13.293,54.69
34,"Love Island (2019–…): Season 4, Episode 34  - Episode #4.34 - full transcript",4763,923,0.1938,13.374,61.5
35,"Love Island (2019–…): Season 4, Episode 35  - Episode #4.35 - full transcript",7932,1044,0.1316,11.722,43.82
36,"Love Island (2019–…): Season 4, Episode 36  - Episode #4.36 - full transcript",6007,1240,0.2064,15.999,40.42
37,"Love Island (2019–…): Season 4, Episode 37  - Episode #4.37 - full transcript",6034,1068,0.177,13.749,67.58
38,"Love Island (2019–…): Season 4, Episode 38  - Episode #4.38 - full transcript",11366,1415,0.1245,13.272,69.8
